model_id,model_name
1,Actinomyces_odontolyticus_ATCC_17982
2,Bacteroides_eggerthii_DSM_20697
3,Bacteroides_ovatus_ATCC_8483
4,Bacteroides_thetaiotaomicron_VPI_5482
5,Bifidobacterium_longum_infantis_ATCC_15697
6,Butyrivibrio_fibrisolvens_16_4
7,Citrobacter_freundii_UCI_31
8,Clostridium_butyricum_DSM_10702
9,Escherichia_coli_O157_H7_str_Sakai
10,Escherichia_coli_str_K_12_substr_MG1655
11,Eubacterium_eligens_ATCC_27750
12,Faecalibacterium_prausnitzii_M21_2
13,Klebsiella_pneumoniae_pneumoniae_MGH78578
14,Lactococcus_lactis_subsp_lactis_Il1403
15,Listeria_grayi_DSM_20601
16,Micrococcus_luteus_NCTC_2665
17,Parabacteroides_merdae_ATCC_43184
18,Ruminococcus_albus_7
19,Serratia_liquefaciens_ATCC_27592
20,Staphylococcus_epidermidis_ATCC_12228
